29.420,29.520,12.624,-17.919,23.355,12.193,7.710
30.236,30.336,12.332,-17.342,22.754,11.405,7.342
28.630,28.730,13.092,-19.037,22.347,13.115,6.770
27.900,28.000,13.445,-20.118,22.019,13.912,6.845
28.931,29.031,14.842,-19.821,22.705,13.657,8.554
28.851,28.951,12.928,-19.847,23.625,14.732,7.949
28.584,28.684,14.937,-19.867,21.970,13.456,8.831
27.564,27.664,13.297,-19.049,22.247,12.642,7.725
28.519,28.619,12.291,-19.316,23.522,12.475,9.114
28.391,28.491,12.356,-19.380,23.561,12.294,9.145
28.826,28.926,12.305,-18.964,23.488,12.564,9.182
27.770,27.870,12.580,-19.798,23.325,11.476,9.001
27.431,27.531,13.696,-20.041,21.301,11.713,7.811
28.930,29.030,13.137,-20.341,23.242,12.029,9.230
29.694,29.794,12.489,-19.575,23.548,12.410,9.950
28.301,28.401,13.541,-20.896,22.989,11.538,9.199
27.283,27.383,12.895,-20.119,21.164,11.037,8.635
27.328,27.428,11.625,-20.434,22.836,10.625,9.591
27.100,27.200,13.707,-21.170,22.517,9.654,7.872
28.193,28.293,12.167,-20.276,22.086,9.877,8.762
28.090,28.190,12.308,-20.507,21.589,10.284,9.204
27.462,27.562,12.322,-20.977,21.944,10.824,9.207
27.755,27.855,13.511,-20.645,22.302,10.608,8.065
27.836,27.936,12.694,-21.257,22.735,11.638,8.623
27.951,28.051,12.769,-20.886,21.901,10.827,7.735
27.891,27.991,12.703,-21.117,23.021,11.126,8.336
27.328,27.428,12.411,-21.450,22.009,11.081,7.649
28.194,28.294,11.895,-20.254,22.263,9.911,9.281
28.546,28.646,11.970,-20.270,21.569,10.142,9.922
27.868,27.968,11.058,-20.151,22.967,9.840,9.327
28.080,28.180,12.041,-21.257,22.442,9.855,9.218
27.477,27.577,12.366,-22.105,22.431,10.561,8.913
28.235,28.335,12.976,-21.352,23.008,9.774,8.909
27.075,27.175,12.968,-22.376,22.710,10.194,8.826
28.399,28.499,12.572,-21.428,21.849,10.151,10.422
28.135,28.235,12.714,-21.675,21.935,10.511,10.412
28.593,28.693,12.908,-21.028,21.725,10.001,9.568
28.154,28.254,12.973,-21.608,22.057,10.656,9.505
27.565,27.665,13.051,-21.680,21.610,10.766,8.574
28.296,28.396,13.447,-21.313,22.232,10.110,9.137
27.217,27.317,13.495,-21.990,21.739,10.808,9.021
28.074,28.174,14.052,-21.332,22.243,10.028,9.458
27.208,27.308,13.941,-22.037,21.667,10.772,9.515
27.565,27.665,14.682,-21.253,22.360,9.994,9.456
28.222,28.322,13.240,-22.611,21.282,11.769,10.551
28.861,28.961,11.834,-21.804,20.176,11.656,8.933
29.592,29.692,13.204,-21.624,21.358,12.561,9.669
29.126,29.226,12.966,-22.215,21.134,12.902,9.424
29.384,29.484,12.321,-21.994,20.461,12.826,8.831
29.664,29.764,13.050,-22.068,21.155,13.828,9.524
29.461,29.561,13.172,-22.838,21.157,13.541,8.232
30.629,30.729,12.343,-21.071,21.091,13.102,9.886
31.353,31.453,12.926,-20.292,21.106,13.109,10.356
30.984,31.084,11.932,-19.983,19.587,11.971,8.681
31.350,31.450,11.226,-18.614,20.853,12.685,9.189
30.702,30.802,11.285,-19.305,20.632,13.379,8.909
31.358,31.458,11.616,-18.064,20.154,12.994,9.310
30.267,30.367,11.225,-19.856,20.295,12.805,8.748
30.575,30.675,9.993,-18.470,20.914,11.940,9.664
31.306,31.406,11.585,-19.331,19.552,11.685,9.175
31.338,31.438,11.485,-17.812,20.059,13.176,9.248
30.449,30.549,10.925,-19.882,20.336,12.838,8.383
30.430,30.530,9.588,-18.260,20.907,11.826,9.343
30.273,30.373,11.361,-18.308,19.275,11.252,8.308
30.829,30.929,9.268,-18.181,21.364,11.551,9.341
31.684,31.784,9.880,-19.197,20.917,12.042,9.741
30.749,30.849,9.403,-17.915,21.223,11.008,9.589
30.286,30.386,10.623,-17.610,20.460,10.087,9.859
29.437,29.537,9.635,-17.479,20.091,11.348,9.990
29.168,29.268,10.607,-17.071,20.909,10.486,9.515
30.122,30.222,10.694,-19.407,21.008,11.431,11.213
31.928,32.028,10.081,-19.686,20.570,10.127,12.223
32.693,32.793,8.755,-20.544,21.454,9.354,12.302
32.066,32.166,9.506,-19.535,21.702,8.905,12.122
32.086,32.186,8.654,-19.531,22.536,8.877,11.235
33.208,33.308,10.165,-19.854,22.144,8.122,12.554
32.727,32.827,10.042,-19.455,22.472,7.748,12.523
32.950,33.050,9.701,-18.864,22.105,7.795,11.239
33.157,33.257,8.545,-19.315,23.330,8.145,12.008
31.501,31.601,9.310,-18.725,21.897,9.035,11.570
32.539,32.639,9.901,-19.750,21.291,10.020,12.357
32.994,33.094,9.461,-19.835,21.040,9.680,12.914
32.249,32.349,10.391,-19.061,20.952,10.142,12.669
33.716,33.816,9.602,-19.939,21.466,9.547,13.272
33.199,33.299,10.116,-19.724,22.934,10.102,11.654
33.134,33.234,9.795,-19.005,22.593,10.220,12.491
32.906,33.006,10.199,-18.928,22.273,9.917,12.522
32.598,32.698,10.343,-18.510,22.163,9.522,12.647
32.781,32.881,9.766,-18.220,22.904,9.268,11.927
32.409,32.509,9.409,-18.302,22.658,8.377,12.295
33.004,33.104,9.218,-18.969,23.162,8.995,12.189
31.671,31.771,9.475,-17.732,22.892,8.695,11.910
32.216,32.316,9.772,-18.416,21.890,8.754,13.090
33.051,33.151,8.954,-18.806,23.298,8.995,11.348
32.110,32.210,9.366,-17.767,22.905,8.579,11.297
33.275,33.375,9.113,-18.931,21.934,8.451,13.038
32.886,32.986,9.498,-18.866,21.523,8.210,12.734
33.018,33.118,9.081,-19.008,21.969,7.987,11.951
32.403,32.503,9.125,-18.669,21.863,7.535,11.371
33.498,33.598,8.480,-19.624,22.429,8.550,12.343
